2004,,,,,,
Party,Votes,%,Seats,,,
Meghalaya Democratic Party,8946,0,0,,,
Manav Mukti Morcha,8839,0,0,,,
"Backward Classes Democratic Party, J&k",8129,0,0,,,
Bharatiya Eklavya Party,8105,0,0,,,
Akhil Bhartiya Rajarya Sabha,8065,0,0,,,
Rashtriya Raksha Dal,7915,0,0,,,
Jan Morcha,7826,0,0,,,
Democratic Bharatiya Samaj Party,7817,0,0,,,
Revolutionary Communist Party of India (Rakik Bhatt),7788,0,0,,,
Bharatiya Gaon Taj Dal,7764,0,0,,,
Bundelkhand Akikrit Party,7593,0,0,,,
Ajeya Bharat Party,7567,0,0,,,
Indian Union Muslim League (IUML),7553,0,0,,,
Purvanchal Rajya Banao Dal,7497,0,0,,,
Ambedkar Pragatisheel Republican Dal,7482,0,0,,,
The Humanist Party of India,7296,0,0,,,
Rashtriya Machhua Samaj Party,7290,0,0,,,
Bharatiya National Janta Dal,7194,0,0,,,
Hindustan Janata Party,7054,0,0,,,
B.C. United Front,6910,0,0,,,
Bharatiya Jantantrik Parishad,6872,0,0,,,
Ambedkarist Republican Party,6672,0,0,,,
Maharashtrawadi Gomantak Party,6638,0,0,,,
Proutist Sarva Samaj Party,6316,0,0,,,
Bharatiya Subhash Sena,6250,0,0,,,
Akhil Bharatiya Desh Bhakt Morcha,6220,0,0,,,
Party For Democratic Socialism,6141,0,0,,,
People's Party of Arunachal,5996,0,0,,,
Rashtriya Janhit Party,5841,0,0,,,
Vikas Party,5840,0,0,,,
Professionals Party of India,5819,0,0,,,
Republican Party of India (Democratic),5809,0,0,,,
Duggar Pradesh Party,5660,0,0,,,
Bharat Vikas Morcha,5645,0,0,,,
Republican Party of India (Khobragade),5566,0,0,,,
Bharatiya Samaj Dal,5565,0,0,,,
Samajtantric Party of India,5537,0,0,,,
Rashtrawadi Labour Party,5460,0,0,,,
National Loktantrik Party,5371,0,0,,,
Bharatiya Peoples Party,5226,0,0,,,
Bhartiya Lok Kalyan Dal,5197,0,0,,,
Sunder Samaj Party,5120,0,0,,,
Lal Morcha,5087,0,0,,,
Bharatiya Sampuran Krantikari Party,5068,0,0,,,
Jai Bharat Samanta Party,4967,0,0,,,
Samajik Jantantrik Party,4816,0,0,,,
Praja Bharath Party,4810,0,0,,,
Bharathiya Sahayog Congress,4758,0,0,,,
Sikkim Himali Rajya Parishad,4639,0,0,,,
Uttar Pradesh Republican Party,4604,0,0,,,
Rashtriya Mazdoor Ekta Party,4588,0,0,,,
Muslim Majlis Uttar Pradesh,4444,0,0,,,
Inqalab Vikas Dal,4439,0,0,,,
Awami Party,4386,0,0,,,
Bharatiya Jan Berojgar Chhatra Dal,4307,0,0,,,
Bharat Uday Mission,4210,0,0,,,
Rashtriya Agraniye Dal,4072,0,0,,,
Krantikari Samyavadi Party,4035,0,0,,,
Rashtriya Praja Congress (Secular),3980,0,0,,,
Republican Presidium Party of India,3894,0,0,,,
Lok Jan Vikas Morcha,3658,0,0,,,
Peoples Democratic Front,3502,0,0,,,
Bharatiya Loktantrik Party (Gandhi-Lohiawadi),3359,0,0,,,
Bharatiya Pichhra Dal,3292,0,0,,,
Rashtriya Naujawan Dal,3155,0,0,,,
Rashtra Bhakt Dal,3138,0,0,,,
Yuva Vikas Party,3129,0,0,,,
Jan Chetna Party,2987,0,0,,,
Sikkim Jan-Ekta Party,2849,0,0,,,
Bharatiya Samaj Kalyan Party Bharat,2822,0,0,,,
Bhartiya Pragatisheel Congress,2798,0,0,,,
National Development Party,2787,0,0,,,
Jan Ekta Dal,2787,0,0,,,
All India Momin Conference,2765,0,0,,,
All India Forward Bloc (Subhasist),2758,0,0,,,
Rashtriya Sahara Party,2754,0,0,,,
Indian People's Forward Block,2686,0,0,,,
Alpjan Samaj Party,2678,0,0,,,
Ambedkarbadi Party,2664,0,0,,,
United National Loktantrik Party,2658,0,0,,,
Akhil Bharatiya Hind Kranti Party,2633,0,0,,,
Orissa Mukti Morcha,2591,0,0,,,
Youth and Students Party,2582,0,0,,,
Laghujan Samaj Vikas Party,2507,0,0,,,
Jharkhand People's Party,2498,0,0,,,
Democratic Congress Party,2497,0,0,,,
Savarn Samaj Party,2486,0,0,,,
Jansatta Party,2468,0,0,,,
Jai Chhattisgarh Party,2397,0,0,,,
Rastriya Samajwadi Party (Secular),2305,0,0,,,
Moderate Party,2285,0,0,,,
Sikkim Gorkha Prajatantric Party,2284,0,0,,,
National Youth Party,2275,0,0,,,
Sardar Vallabhbhai Patel Party,2275,0,0,,,
Kannada Chalevali Vatal Paksha,2269,0,0,,,
Rashtriya Bahujan Congress Party,2244,0,0,,,
Bhartiya Deshbhakt Party,2217,0,0,,,
Rashtriya Jan Sahay Dal,2202,0,0,,,
Desia Pathukappu Kazhagam,2154,0,0,,,
Youth For Equality,2099,0,0,,,
Rajya Nojawan Shakti Party,2041,0,0,,,
Rashtriya Lokwadi Party,2021,0,0,,,
Rashtriya Janutthan Party,2005,0,0,,,
Rashtriya Lokhit Party,1866,0,0,,,
Indian Christian Secular Party,1853,0,0,,,
Mahila Adhikar Party,1816,0,0,,,
Rashtriya Gondvana Party,1802,0,0,,,
Rashtriya Mangalam Party,1780,0,0,,,
Indian Bahujan Samajwadi Party,1780,0,0,,,
Buddhiviveki Vikas Party,1774,0,0,,,
Advait Ishwasyam Congress,1718,0,0,,,
United Communist Party of India,1713,0,0,,,
Shivrajya Party,1704,0,0,,,
Karnataka Thamizhar Munnetra Kazhagam,1686,0,0,,,
Akhil Bhartiya Manavata Paksha,1619,0,0,,,
National Democratic Peoples Front,1557,0,0,,,
Bharatiya Backward Party,1552,0,0,,,
Rashtriya Surya Prakash Party,1532,0,0,,,
Jharkhand Party,1514,0,0,,,
Bharatiya Nagrik Party,1464,0,0,,,
Bahujan Vikas Party,1435,0,0,,,
Bharatiya Rashtravadi Paksha,1407,0,0,,,
Rashtriya Janadhikar Party,1394,0,0,,,
Majdoor Kisan Union Party,1341,0,0,,,
Kamarajar Deseeya Congress,1341,0,0,,,
Christian Democratic Front,1300,0,0,,,
Bharatiya Jan Shakti,1296,0,0,,,
Rayalaseema Rashtra Samithi,1284,0,0,,,
Bharatiya Jai Bheem Party,1253,0,0,,,
Bhartiya Chaitanya Party,1246,0,0,,,
Bharatiya Jan Kranti Dal (Democratic),1245,0,0,,,
Punjab Labour Party,1243,0,0,,,
Swarajya Party of India,1230,0,0,,,
All India Bahujan Samman Party,1217,0,0,,,
Bundelkhand Mukti Morcha,1211,0,0,,,
Akhil Bharatiya Mahasand Sarvahara Krantikari Party,1197,0,0,,,
Anaithindia Dravidar Samudaya Munnetra Kazhagam,1189,0,0,,,
Save Goa Front,1117,0,0,,,
Namadhu Makkal Katchi,1114,0,0,,,
Akhil Bharatiya Shivsena Rashtrawadi,1108,0,0,,,
Maidani Kranti Dal,1106,0,0,,,
Jai Jawan Jai Kisan Mazdoor Congress,1100,0,0,,,
All India Bharti Jug Party,1085,0,0,,,
Bhartiya Congress (M),1069,0,0,,,
Matra Bhakta Party,1006,0,0,,,
Pachai Kudi Makkal Katchi,981,0,0,,,
Akhil Rashtrawadi Party,969,0,0,,,
Vishva Hindustani Sangathan,935,0,0,,,
Mool Bharati (S) Party,910,0,0,,,
National Secular Party,902,0,0,,,
Bharatiya Rashtriya Morcha,867,0,0,,,
Vishwa Vikas Sangh,837,0,0,,,
Jai Bharat Party,836,0,0,,,
Bharat Ki Lok Jimmedar Party,790,0,0,,,
Akhil Bhartiya Sindhu Samajwadi Party,786,0,0,,,
Bharat Dal,700,0,0,,,
Federal Congress of India,684,0,0,,,
All India Raksha Party,678,0,0,,,
Adarshwadi Dal,614,0,0,,,
Janata Uday Party,595,0,0,,,
Shakti Sena (Bharat Desh),589,0,0,,,
Rashtriya Vikas Party,584,0,0,,,
Akhil Bhartiya Loktantra Party,578,0,0,,,
Peoples Party of India(secular),578,0,0,,,
Niswarth Sewa Party,573,0,0,,,
Jebamani Janata,573,0,0,,,
Hind Vikas Party,532,0,0,,,
Desh Bhakt Party,531,0,0,,,
Bharatiya Sarvkalyan Krantidal,496,0,0,,,
Democratic Party of India,494,0,0,,,
Rajasthan Dev Sena Dal,484,0,0,,,
Rashtriya Yuva Sangh,482,0,0,,,
Rashtrawadi Samaj Party,450,0,0,,,
Loktanrik Janata Party (Secular),351,0,0,,,
Bharatiya Grameen Dal,346,0,0,,,
Akhil Bhartiya Kisan Mazdoor Morcha,305,0,0,,,
Jaganmay Nari Sangathan,226,0,0,,,
Independents,21647686,5.19,9,,,
Nominated Anglo-Indian,,,,2,,
Total,,417159281,100,545,,
,,,,,,
Valid votes,,417159281,99.95,,,
Invalid/blank votes,,198705,0.05,,,
Total votes,,417357986,100,,,
Registered voters/turnout,,716985101,58.21,,,
