2004,,,,,,,,,,,,,,,,
By state and territory,,,,,,,,,,,,,,,,
States,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State/Union Territory,Seats,,,,,,,,,,,,,,,
,,UPA,NDA,LF,Others,,,,,,,,,,,
,Gujarat Loktantra Party,,,2458,0,0,,,,,,,,,,
,Odisha Janata Party,,,2442,0,0,,,,,,,,,,
,Bharatiya Nagrik Party,,,2434,0,0,,,,,,,,,,
,Aapka Gantantra Party,,,2432,0,0,,,,,,,,,,
,Prajatantra Aadhar Party,,,2429,0,0,,,,,,,,,,
,Bhartiya Manavta Party,,,2426,0,0,,,,,,,,,,
,Gareeb Aadmi Party,,,2425,0,0,,,,,,,,,,
,Ahimsa Socialist Party,,,2421,0,0,,,,,,,,,,
,Bangali Nabanirman Sena,,,2410,0,0,,,,,,,,,,
,India Greens Party,,,2387,0,0,,,,,,,,,,
,Sarva Samaj Janata Party,,,2379,0,0,,,,,,,,,,
,Vishva Shakti Party,,,2361,0,0,,,,,,,,,,
,Lok Sena Party,,,2350,0,0,,,,,,,,,,
,Rashtriya Jantantrik Bharat Vikas Party,,,2347,0,0,,,,,,,,,,
,National Youth Party,,,2343,0,0,,,,,,,,,,
,Dalit Soshit Pichhara Varg Adhikar Dal,,,2342,0,0,,,,,,,,,,
,Rayalaseema Rashtra Samithi,,,2333,0,0,,,,,,,,,,
,Samajwadi Janata Party(Karnataka),,,2320,0,0,,,,,,,,,,
,Tamil Manila Murpokku Dravida Kazhagam,,,2315,0,0,,,,,,,,,,
,Azad Party,,,2311,0,0,,,,,,,,,,
,Bharat Ki Lok Jimmedar Party,,,2310,0,0,,,,,,,,,,
,Rashtriya Jan Utkarsh Party,,,2309,0,0,,,,,,,,,,
,Rashtriya Sawarn Dal,,,2293,0,0,,,,,,,,,,
,Utkal Samaj,,,2285,0,0,,,,,,,,,,
,Akhil Bharat Hindu Mahasabha,,,2278,0,0,,,,,,,,,,
,New India Party,,,2269,0,0,,,,,,,,,,
,Aanaithinthiya Jananayaka Pathukappu Kazhagam,,,2244,0,0,,,,,,,,,,
,Sarvjan Awaz Party,,,2239,0,0,,,,,,,,,,
,Chennai Youth Party,,,2195,0,0,,,,,,,,,,
,Loktantrik Janshakti Party,,,2191,0,0,,,,,,,,,,
,Aam Aadmi Parivartan Party,,,2128,0,0,,,,,,,,,,
,Akhil Bhartiya Manavadhikar Vichar Manch Party,,,2108,0,0,,,,,,,,,,
,Majdoor Kisan Union Party,,,2105,0,0,,,,,,,,,,
,Rashtriya Power Party,,,2101,0,0,,,,,,,,,,
,Jai Hind Congress Party,,,2101,0,0,,,,,,,,,,
,Prabal Bharat Party,,,2099,0,0,,,,,,,,,,
,Sunahara Bharat Party,,,2091,0,0,,,,,,,,,,
,Most Backward Classes Of India,,,2090,0,0,,,,,,,,,,
,Apna Samaj Party,,,2083,0,0,,,,,,,,,,
,Manviya Bharat Party,,,2082,0,0,,,,,,,,,,
,Vikas Insaf Party,,,2033,0,0,,,,,,,,,,
,Sabse Achchhi Party,,,2029,0,0,,,,,,,,,,
,Republican Party of India (Karnataka),,,2018,0,0,,,,,,,,,,
,Bhartiya Sarvdharm Party,,,2012,0,0,,,,,,,,,,
,Peopleâ€™s Union Par,,,2009,0,0,,,,,,,,,,
,Spashtwadi Jan Aadhar Party,,,2003,0,0,,,,,,,,,,
,National Black Panther Party,,,1994,0,0,,,,,,,,,,
,Yuva Bihar Sena,,,1990,0,0,,,,,,,,,,
,Bhartiya Lokvani Party,,,1956,0,0,,,,,,,,,,
,Sankhyanupati Bhagidari Party,,,1949,0,0,,,,,,,,,,
,Saman Adhikar Party,,,1943,0,0,,,,,,,,,,
,Janta Shashan Party,,,1942,0,0,,,,,,,,,,
,Bhartiya Jan Adhikar Party,,,1940,0,0,,,,,,,,,,
,Humanity for Peace Party,,,1935,0,0,,,,,,,,,,
,Madhya Pradesh Jan Vikas Party,,,1932,0,0,,,,,,,,,,
,Ulzaipali Makkal Katchy,,,1929,0,0,,,,,,,,,,
,Mang Samaj Party,,,1905,0,0,,,,,,,,,,
,Tamilar Makkal Katchi,,,1904,0,0,,,,,,,,,,
,Samajwadi Lok Parishad,,,1880,0,0,,,,,,,,,,
,Bharatiya Sampuran Krantikari Party,,,1880,0,0,,,,,,,,,,
,Bhartiya Asmita Party,,,1874,0,0,,,,,,,,,,
,Kannada Chalavali Vatal Paksha,,,1867,0,0,,,,,,,,,,
,The Agrani Party,,,1843,0,0,,,,,,,,,,
,Bhartiya Jan Nayak Party,,,1838,0,0,,,,,,,,,,
,Vidarbha Rajya Aghadi,,,1828,0,0,,,,,,,,,,
,Himachal Janta Party,,,1825,0,0,,,,,,,,,,
,Adarsh Jankalyan Dal,,,1817,0,0,,,,,,,,,,
,Rashtriya Hind Ekta Dal,,,1806,0,0,,,,,,,,,,
,Blue India Party,,,1803,0,0,,,,,,,,,,
,Makkal Nalvaazhvuk Katchi,,,1792,0,0,,,,,,,,,,
,Prajavani Party,,,1792,0,0,,,,,,,,,,
,National Party,,,1767,0,0,,,,,,,,,,
,People Protection Party,,,1737,0,0,,,,,,,,,,
,Kosal Janata Dal,,,1735,0,0,,,,,,,,,,
,Indian Labour Party (Ambedkar Phule),,,1729,0,0,,,,,,,,,,
,Telangana Rajya Samithi,,,1727,0,0,,,,,,,,,,
,Ambedkarist Republican Party,,,1727,0,0,,,,,,,,,,
,Akhand Bharat Janpriya Party,,,1716,0,0,,,,,,,,,,
,Aim Political Party,,,1715,0,0,,,,,,,,,,
,Bharatiya Ekta Dal,,,1704,0,0,,,,,,,,,,
,Kamgaar Kisan Party,,,1701,0,0,,,,,,,,,,
,Ahinsa Samaj Party,,,1698,0,0,,,,,,,,,,
,Jindabad Kranti Party,,,1690,0,0,,,,,,,,,,
,Parivartan Party of India,,,1686,0,0,,,,,,,,,,
,Bhartiya Janta Secular Party,,,1685,0,0,,,,,,,,,,
,Rashtra Dharak Dal,,,1683,0,0,,,,,,,,,,
,Paschimanchal Vikas Party,,,1682,0,0,,,,,,,,,,
,Yuva Vikas Party,,,1679,0,0,,,,,,,,,,
,Bharat Jan Aadhar Party,,,1675,0,0,,,,,,,,,,
,Telangana Jaghir Party,,,1648,0,0,,,,,,,,,,
,Jana Sahayaka Sakthi,,,1644,0,0,,,,,,,,,,
,Rashtriya Lokswaraj Party,,,1641,0,0,,,,,,,,,,
,Rashtriya Janmorcha,,,1639,0,0,,,,,,,,,,
,Samajwadi Jan Parishad,,,1637,0,0,,,,,,,,,,
,Atulya Bharat Party,,,1617,0,0,,,,,,,,,,
,Young Star Empowerment Party,,,1616,0,0,,,,,,,,,,
,Prajarajya Samithi,,,1614,0,0,,,,,,,,,,
,Hamara Sahara Party,,,1614,0,0,,,,,,,,,,
,Sanjhi Virasat Party,,,1610,0,0,,,,,,,,,,
,Abhinav Bharat Janseva Paksh,,,1602,0,0,,,,,,,,,,
,Lokshahi Ekta Party,,,1585,0,0,,,,,,,,,,
,Adim Bhartiya Dal,,,1584,0,0,,,,,,,,,,
,Janta Samajwadi Party (Vivek Raj),,,1574,0,0,,,,,,,,,,
,Hindvi Swarajyay Dal,,,1573,0,0,,,,,,,,,,
,Indian Unity Centre,,,1572,0,0,,,,,,,,,,
,Bharatiya Liberal Party,,,1552,0,0,,,,,,,,,,
,Bhartiya Party,,,1549,0,0,,,,,,,,,,
,Bharatiya Lokshakti Party,,,1537,0,0,,,,,,,,,,
,Rashtriya Narayanwadi Vikas Party,,,1527,0,0,,,,,,,,,,
,All Peoples Party,,,1495,0,0,,,,,,,,,,
,Rashtriya Sanskriti Party,,,1494,0,0,,,,,,,,,,
,Public Adhikar Socialist Indian Party,,,1493,0,0,,,,,,,,,,
,Tamizhaga Murpokku Makkal Katchi,,,1488,0,0,,,,,,,,,,
,Bhartiya Uday Nirman Party,,,1483,0,0,,,,,,,,,,
,Aam Janshakti Party,,,1478,0,0,,,,,,,,,,
,Rashtra Samanya Praja Party,,,1474,0,0,,,,,,,,,,
,Janlok Vikas Party,,,1473,0,0,,,,,,,,,,
,Bharatiya Bahujan Samta Party,,,1459,0,0,,,,,,,,,,
,Telangana Republican Party,,,1452,0,0,,,,,,,,,,
,AARAKSHAN VIRODHI PARTY,,,1444,0,0,,,,,,,,,,
,Supreme Zero Party of Bharat,,,1441,0,0,,,,,,,,,,
,Vishal Janta Party,,,1421,0,0,,,,,,,,,,
,Samrat Mihir Bhoj Samaj Party,,,1412,0,0,,,,,,,,,,
,Swayam Shashan Party,,,1408,0,0,,,,,,,,,,
,Super Power India Party,,,1400,0,0,,,,,,,,,,
,"Adarsh Janta Party,",,,1376,0,0,,,,,,,,,,
,All India Mazdoor Party (Rangreta),,,1374,0,0,,,,,,,,,,
,Yuva Taram Party,,,1369,0,0,,,,,,,,,,
,Hindustan Janta Party Secular,,,1366,0,0,,,,,,,,,,
,Prithviraj Janshakti Party,,,1364,0,0,,,,,,,,,,
,Bhartiya Garib Vikas Kalyan Party,,,1347,0,0,,,,,,,,,,
,Rashtriya Janmanch (Secular),,,1333,0,0,,,,,,,,,,
,Gorkha Rashtriya Congress,,,1331,0,0,,,,,,,,,,
,Sakala Janula Party,,,1324,0,0,,,,,,,,,,
,Rashtriya Janta Party,,,1319,0,0,,,,,,,,,,
,Janshakti Janta Dal,,,1318,0,0,,,,,,,,,,
,Lok Samaj Party,,,1294,0,0,,,,,,,,,,
,Rashtriya Vikalp Party,,,1269,0,0,,,,,,,,,,
,Bahujana Left Party,,,1265,0,0,,,,,,,,,,
,Rajasthan Raj Party,,,1264,0,0,,,,,,,,,,
,Akhil Bharatiya Hind Kranti Party,,,1259,0,0,,,,,,,,,,
,Praja Ektha Party,,,1252,0,0,,,,,,,,,,
,Challengers Party,,,1243,0,0,,,,,,,,,,
,Rashtriya Vikas Party,,,1240,0,0,,,,,,,,,,
,Indian Believers Party (IBP),,,1239,0,0,,,,,,,,,,
,Pehchan Peopleâ€™s Par,,,1228,0,0,,,,,,,,,,
,Sarvar Party,,,1202,0,0,,,,,,,,,,
,National Future Party,,,1197,0,0,,,,,,,,,,
,Megh Desham Party,,,1194,0,0,,,,,,,,,,
,National Janmandal Party,,,1193,0,0,,,,,,,,,,
,Sajag Samaj Party,,,1191,0,0,,,,,,,,,,
,Awami Samta Party,,,1190,0,0,,,,,,,,,,
,Kamera Samaj Party,,,1177,0,0,,,,,,,,,,
,Adarshwaadi Congress Party,,,1173,0,0,,,,,,,,,,
,Rashtriya Janutthan Party,,,1157,0,0,,,,,,,,,,
,Rashtriya Secular Majlis Party,,,1136,0,0,,,,,,,,,,
,New Generation Peopleâ€™s Par,,,1133,0,0,,,,,,,,,,
,Janahitha Paksha,,,1130,0,0,,,,,,,,,,
,Sanyogwadi Party,,,1128,0,0,,,,,,,,,,
,Jan Sewak Kranti Party,,,1120,0,0,,,,,,,,,,
,Indian Movement Party,,,1117,0,0,,,,,,,,,,
,Rastriya Atal Janta Party,,,1116,0,0,,,,,,,,,,
,Aadim Samaj Party,,,1100,0,0,,,,,,,,,,
,Rashtriya Janhit Sangharsh Party,,,1090,0,0,,,,,,,,,,
,Dr. Bhimrao Ambedkar Dal,,,1078,0,0,,,,,,,,,,
,Manav Kranti Party,,,1076,0,0,,,,,,,,,,
,Vidiyalai Thedum Indhiyargal Party,,,1073,0,0,,,,,,,,,,
,Proutist Sarva Samaj,,,1069,0,0,,,,,,,,,,
,Lokrajya Janata Party,,,1061,0,0,,,,,,,,,,
,Akhil Bharatiya Manavata Paksha,,,1057,0,0,,,,,,,,,,
,Vikas India Party,,,1054,0,0,,,,,,,,,,
,Shiromani Lok Dal Party,,,1044,0,0,,,,,,,,,,
,Punnagai Desam Party,,,1040,0,0,,,,,,,,,,
,Netaji Subhash Chander Bose Rashtriya Azad Party,,,1019,0,0,,,,,,,,,,
,Rashtriya Sant Sandesh Party,,,994,0,0,,,,,,,,,,
,Sehajdhari Sikh Party,,,987,0,0,,,,,,,,,,
,Rashtriya Jansena Party,,,983,0,0,,,,,,,,,,
,India Manus Party,,,982,0,0,,,,,,,,,,
,Karnataka Praja Party (RaithaParva),,,978,0,0,,,,,,,,,,
,Mission All India Independent Justice Party,,,960,0,0,,,,,,,,,,
,Janta Darbar Party,,,956,0,0,,,,,,,,,,
,Buland Bharat Party,,,955,0,0,,,,,,,,,,
,Pichhara Samaj Party United,,,952,0,0,,,,,,,,,,
,Welfare Party Of India,,,951,0,0,,,,,,,,,,
,All India Uzhavargal Uzhaippalargal Katchi,,,950,0,0,,,,,,,,,,
,Bharatiya Jan Morcha Party,,,945,0,0,,,,,,,,,,
,Aman Samaj Party,,,945,0,0,,,,,,,,,,
,Bhartiya Rashtriya Jansatta,,,941,0,0,,,,,,,,,,
,Bahujan Kranti Party (Marxwad- Ambedkarwad),,,940,0,0,,,,,,,,,,
,Janta Raj Vikas Party,,,939,0,0,,,,,,,,,,
,Anaithu India Makkal Katchi,,,937,0,0,,,,,,,,,,
,Janta Kranti Party,,,936,0,0,,,,,,,,,,
,Samaj Bhalai Morcha,,,930,0,0,,,,,,,,,,
,Akhil Bhartiya Kisan Majdoor Party,,,924,0,0,,,,,,,,,,
,Swaraj Kranti Party,,,909,0,0,,,,,,,,,,
,Democratic Socialist Party of India,,,885,0,0,,,,,,,,,,
,Bharatiya Jan Jagriti Party,,,879,0,0,,,,,,,,,,
,Aadarsh Sangram Party,,,865,0,0,,,,,,,,,,
,Uttar Pradesh Republican Party,,,854,0,0,,,,,,,,,,
,Digvijaya Bharatha Party,,,850,0,0,,,,,,,,,,
,Republican Party of India Bharatha,,,848,0,0,,,,,,,,,,
,Indian National Yuva Jana Party,,,847,0,0,,,,,,,,,,
,Jan Shakti Ekta Party,,,847,0,0,,,,,,,,,,
,Satya Bahumat Party,,,842,0,0,,,,,,,,,,
,Bhartiya Sabka Dal,,,841,0,0,,,,,,,,,,
,Akhil Bharatiya Muslim League (Secular),,,821,0,0,,,,,,,,,,
,New Labour Party,,,819,0,0,,,,,,,,,,
,Akhil Bhartiya Aamjan Party,,,818,0,0,,,,,,,,,,
,Kunbi Bahujan Sawrajya Party,,,817,0,0,,,,,,,,,,
,Pachchasi Parivartan Samaj Party,,,802,0,0,,,,,,,,,,
,Jana Shankhaaraavam Party,,,797,0,0,,,,,,,,,,
,Rashtriy Bahujan Party,,,795,0,0,,,,,,,,,,
,Rashtriya Mazdoor Ekta Party,,,791,0,0,,,,,,,,,,
,Telugu Congress Party,,,790,0,0,,,,,,,,,,
,Chhatrapati Shivaji Bhartiya Garib Party,,,790,0,0,,,,,,,,,,
,Lokpriya Rashtrawadi Party,,,782,0,0,,,,,,,,,,
,Anjaan Aadmi Party,,,781,0,0,,,,,,,,,,
,Akhand Bharat Swatantra Party,,,780,0,0,,,,,,,,,,
,Mission Naya Digant Party,,,772,0,0,,,,,,,,,,
,Rani Chennamma Party,,,771,0,0,,,,,,,,,,
,Bhrashtachar Mukti Morcha,,,766,0,0,,,,,,,,,,
,Rashtriya Jan Karmath Party,,,764,0,0,,,,,,,,,,
,Tamilaga Makkal Nala Katchi,,,761,0,0,,,,,,,,,,
,Bhartiya Mahasangh Party,,,758,0,0,,,,,,,,,,
,Aadi Bharat Party,,,742,0,0,,,,,,,,,,
,Jamat-E-Seratul Mustakim,,,741,0,0,,,,,,,,,,
,Makkal Nala Kazhagam,,,736,0,0,,,,,,,,,,
,Bharatiya Lokvikas Party,,,723,0,0,,,,,,,,,,
,All India People Development Party,,,711,0,0,,,,,,,,,,
,Jai Hindustan Party,,,711,0,0,,,,,,,,,,
,BhartiyaBahujanKranti Dal,,,709,0,0,,,,,,,,,,
,Aam Lok Party United,,,695,0,0,,,,,,,,,,
,Ambedkar National Congress,,,688,0,0,,,,,,,,,,
,Rashtriya Congress(J) Party,,,685,0,0,,,,,,,,,,
,Bharat Peoples Sena,,,683,0,0,,,,,,,,,,
,Satyawadi Rakshak Party,,,657,0,0,,,,,,,,,,
,National Republic Party Of India,,,657,0,0,,,,,,,,,,
,Sacho Sach Party,,,652,0,0,,,,,,,,,,
,Youth India Peace Party,,,649,0,0,,,,,,,,,,
,Adarsh Samaj Party,,,643,0,0,,,,,,,,,,
,Rashtravadi Loktantrik Party (India),,,641,0,0,,,,,,,,,,
,Praja Prasthanam Party,,,633,0,0,,,,,,,,,,
,All India Jananayaka Makkal Kazhagam,,,633,0,0,,,,,,,,,,
,Manav Samadhan Party,,,622,0,0,,,,,,,,,,
,Rashtriya Rashtrawadi Party,,,614,0,0,,,,,,,,,,
,Bharatiya Inqalab Party,,,610,0,0,,,,,,,,,,
,Mera Bharat Mahan Party,,,604,0,0,,,,,,,,,,
,Kisan Vishwa Party,,,603,0,0,,,,,,,,,,
,Voters Independent Party,,,601,0,0,,,,,,,,,,
,Aawami Pichhada Party,,,594,0,0,,,,,,,,,,
,Bahujan National Party (Ambedkar),,,586,0,0,,,,,,,,,,
,Guruchand Sena Dal,,,583,0,0,,,,,,,,,,
,All India Kisan Janatha party,,,578,0,0,,,,,,,,,,
,Kranti Janshakti Party,,,575,0,0,,,,,,,,,,
,Rashtriya Suraksha Party,,,574,0,0,,,,,,,,,,
,Dalit Kranti Dal,,,547,0,0,,,,,,,,,,
,Navsarjan Bharat Party,,,545,0,0,,,,,,,,,,
,Akhil Bhartiya Aarakshit Samaj Party,,,544,0,0,,,,,,,,,,
,Aap Sabki Apni Party,,,528,0,0,,,,,,,,,,
,Raita Bharat Party,,,518,0,0,,,,,,,,,,
,All India Mahila Empowerment Party,,,515,0,0,,,,,,,,,,
,Corruption Abolition Party,,,501,0,0,,,,,,,,,,
,Bhartiya Panchyat Party,,,494,0,0,,,,,,,,,,
,Secular Democratic Congress,,,490,0,0,,,,,,,,,,
,Kannada Paksha,,,477,0,0,,,,,,,,,,
,Hamara Sahi Vikalp Party,,,476,0,0,,,,,,,,,,
,Bhartiya Veer Dal,,,470,0,0,,,,,,,,,,
,Bengaluru Nava Nirmana Party,,,461,0,0,,,,,,,,,,
,Radical Party of India (Ambedkarist),,,454,0,0,,,,,,,,,,
,Desh Prem Party,,,454,0,0,,,,,,,,,,
,Sarvlokhit Samaj Party,,,446,0,0,,,,,,,,,,
,Dhoom Sena,,,434,0,0,,,,,,,,,,
,Neethi Nijayithi Party,,,430,0,0,,,,,,,,,,
,Maa Telangana Party,,,423,0,0,,,,,,,,,,
,Samajik Sangharsh Party,,,419,0,0,,,,,,,,,,
,Navodayam Party,,,414,0,0,,,,,,,,,,
,All India National Raksha Sena,,,396,0,0,,,,,,,,,,
,Bharatiya Mulnivasi Aazad Party,,,396,0,0,,,,,,,,,,
,Bhartiya Jan Vikas Aaghadi,,,391,0,0,,,,,,,,,,
,Bahujan Shoshit Samaj Sangharsh Samta Party,,,373,0,0,,,,,,,,,,
,Andhra Pradesh Rashtra Samithi,,,358,0,0,,,,,,,,,,
,Akhil Bhartiya Sudhar Party,,,321,0,0,,,,,,,,,,
,Loktantrik Janta Dal,,,316,0,0,,,,,,,,,,
,Tamil Nadu Makkal Nalvazhvu Periyakkam,,,314,0,0,,,,,,,,,,
,Karnataka Karmikara Paksha,,,314,0,0,,,,,,,,,,
,Bharatrashtra Democratic Party,,,310,0,0,,,,,,,,,,
,All India Jaihind Party,,,269,0,0,,,,,,,,,,
,Bharat Lok Sewak Party,,,262,0,0,,,,,,,,,,
,Republican Party of India (Sivaraj),,,259,0,0,,,,,,,,,,
,Rashtriya Mangalam Party,,,257,0,0,,,,,,,,,,
,Rashtriya Jatigat Aarakshan Virodhi Party,,,215,0,0,,,,,,,,,,
,All India Backward People Sunami Party,,,210,0,0,,,,,,,,,,
,Telangana Prajaa Jeevana Rythu Party,,,141,0,0,,,,,,,,,,
,Indian Praja Congress,,,141,0,0,,,,,,,,,,
,Independents,,,17850062,2.77,7,,,,,,,,,,
None of the above,,,,6371839,0.99,,,,,,,,,,,
Total,,,,645362531,100,543,,,,,,,,,,
,,,,,,,,,,,,,,,,
Valid votes,,,,645362531,99.84,,,,,,,,,,,
Invalid/blank votes,,,,1058338,0.16,,,,,,,,,,,
Total votes,,,,646420869,100,,,,,,,,,,,
Registered voters/turnout,,,,977965560,66.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Andaman & Nicobar Islands (1),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Andaman and Nicobar Island,,,,,,,,,,,,,,,,
BJP (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ %Â [1,Change,Seats won,Changes,,,,,,,,,,
,Bharatiya Janata Party,NDA,50.59, 5.29,1,1,,,,,,,,,,
,Indian National Congress,INDIA,38.53, 7.45,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,
Andhra Pradesh (25),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Andhra Prades,,,,,,,,,,,,,,,,
TDP (16),YSRCP (4),BJP (3),JSP (2),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ %Â [1,Change,Seats won,Changes,,,,,,,,,,
,Telugu Desam Party,NDA,37.79, 2.40,16,13,,,,,,,,,,
,YSR Congress Party,None,39.61, 10.28,4,18,,,,,,,,,,
,Bharatiya Janata Party,NDA,11.28, 10.30,3,3,,,,,,,,,,
,Jana Sena Party,NDA,4.3,1.57,2,2,,,,,,,,,,
,Indian National Congress,INDIA,2.66, 1.35,0,Steady,,,,,,,,,,
,,,,,,,,,,,,,,,,
Arunachal Pradesh (2),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Arunachal Prades,,,,,,,,,,,,,,,,
BJP (2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,
,Bharatiya Janata Party,NDA,48.87, 9.35,2,Steady,,,,,,,,,,
,Indian National Congress,INDIA,30.37, 9.68,0,Steady,,,,,,,,,,
,,,,,,,,,,,,,,,,
Assam (14),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Assa,,,,,,,,,,,,,,,,
BJP (9),INC (3),AGP (1),UPPL (1),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ %Â [1,Change,Seats won,Changes,,,,,,,,,,
,Bharatiya Janata Party,NDA,37.43, 1.02,9,Steady,,,,,,,,,,
,Indian National Congress,INDIA,37.48, 1.69,3,Steady,,,,,,,,,,
,Asom Gana Parishad,NDA,6.46, 1.85,1,1,,,,,,,,,,
,United People's Party Liberal,NDA,2.43,New,1,1,,,,,,,,,,
,All India United Democratic Front,None,3.13, 4.74,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bihar (40),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Biha,,,,,,,,,,,,,,,,
BJP (12),JDU (12),LJP (5),RJD (4),INC (3),CPI(ML) (2),HAM (1),IND (1),,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ %Â [1,Change,Seats won,Changes,,,,,,,,,,
,Bharatiya Janata Party,NDA,20.52, 1.06,12, 5,,,,,,,,,,
,Janata Dal (United),NDA,18.52, 1.29,12, 4,,,,,,,,,,
,Lok Janshakti Party,NDA,6.47, 1.39,5, 1,,,,,,,,,,
,Rashtriya Janata Dal,INDIA,22.14, 5.78,4, 4,,,,,,,,,,
,Indian National Congress,INDIA,9.2, 1.50,3, 2,,,,,,,,,,
,Communist Party of India (Marxist-Leninist),INDIA,2.99, 1.59,2, 2,,,,,,,,,,
,Hindustani Awam Morcha,NDA,,,1, 1,,,,,,,,,,
,Independent,None,,,1, 1,,,,,,,,,,
,,,,,,,,,,,,,,,,
Chandigarh (1),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Chandigar,,,,,,,,,,,,,,,,
INC (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ %Â [1,Change,Seats won,Changes,,,,,,,,,,
,Indian National Congress,INDIA,48.23, 7.88,1, 1,,,,,,,,,,
,Bharatiya Janata Party,NDA,47.66, 2.98,0, 1,,,,,,,,,,
,,,,,,,,,,,,,,,,
Chhattisgarh (11),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Chhattisgar,,,,,,,,,,,,,,,,
BJP (10),INC (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,
,Bharatiya Janata Party,NDA,52.65, 1.21,10, 1,,,,,,,,,,
,Indian National Congress,INDIA,41.06, 0.45,1, 1,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dadra & Nagar Haveli and Daman and Diu(2),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Dadra and Nagar Haveli and Daman and Di,,,,,,,,,,,,,,,,
BJP (1),IND (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,
,Bharatiya Janata Party,NDA,52.79,,1,Steady,,,,,,,,,,
,Independent,None,,,1,Steady,,,,,,,,,,
,Indian National Congress,INDIA,25.09,,0,Steady,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCT of Delhi (7),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Delh,,,,,,,,,,,,,,,,
BJP (7),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ %Â [1,Change,Seats won,Changes,,,,,,,,,,
,Bharatiya Janata Party,NDA,54.35, 2.21,7,Steady,,,,,,,,,,
,Aam Aadmi Party,INDIA,24.17, 6.06,0,Steady,,,,,,,,,,
,Indian National Congress,INDIA,18.91, 3.60,0,Steady,,,,,,,,,,
,,,,,,,,,,,,,,,,
Goa (2),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Go,,,,,,,,,,,,,,,,
BJP (1),INC (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,
,Bharatiya Janata Party,NDA,50.79, 0.39,1,Steady,,,,,,,,,,
,Indian National Congress,INDIA,39.71, 3.21,1,Steady,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gujarat (26),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Gujara,,,,,,,,,,,,,,,,
BJP (25),INC (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ %Â [1,Change,Seats won,Changes,,,,,,,,,,
,Bharatiya Janata Party,NDA,61.86, 0.35,25, 1,,,,,,,,,,
,Indian National Congress,INDIA,31.24, 0.87,1, 1,,,,,,,,,,
,Aam Aadmi Party,INDIA,2.69,New,0,Steady,,,,,,,,,,
,,,,,,,,,,,,,,,,
Haryana (10),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Haryan,,,,,,,,,,,,,,,,
BJP (5),INC (5),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ %Â [2,Change,Seats won,Change,,,,,,,,,,
,Bharatiya Janata Party,NDA,46.11, 12.10,5, 5,,,,,,,,,,
,Indian National Congress,INDIA,47.61, 15.16,5, 5,,,,,,,,,,
,Aam Aadmi Party,INDIA,3.94,New,0,Steady,,,,,,,,,,
,,,,,,,,,,,,,,,,
Himachal Pradesh (4),,,,,,,,,,,,,,,,
Main article:Â 2024 Indian general election in Himachal Prades,,,,,,,,,,,,,,,,
BJP (4),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Alliance,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,
